org_name,org_uuid,arr_ind,current_arr,current_vm_arr,vm_ccy,current_vm_arr_eu,vm_ccy_eu,current_vm_arr_total,vm_ccy_total,ccy_bins,arr_per_vm
Family Search,52063e77facf4f8cb462f6c4092285c8,True,80828,80828,125,0.0,0,80828.0,125,100-249,646.624
Status,52681fddcbcc444cb12f274a929e5672,True,15168,0,0,15168.0,8,15168.0,8,1-9,1896.0
Sentry Insurance,528742b05edb4f76a58d7bdab18a7ff5,True,49278,20952,15,0.0,0,20952.0,15,10-24,1396.8
"Quickbase, Inc.",52e5e04b25034ae6a52c06e114e4aa09,True,206460,184140,150,0.0,0,184140.0,150,100-249,1227.6
integration test team,52f71057b0a7485b995c6808f517144f,True,59736,41736,25,0.0,0,41736.0,25,25-49,1669.44
Miro,532165b2e77e44a5ae4400dddf2f92b8,False,10728,10728,0,10728.0,6,21456.0,6,1-9,3576.0
Vanco Automation,53a35907aeb5490abe800b9c7476b034,True,38400,38400,16,0.0,0,38400.0,16,10-24,2400.0
IBM Cloud,53afa03423b1446e945fb9b3242fd23b,True,129600,129600,60,0.0,0,129600.0,60,50-99,2160.0
American Airlines,547d6fb930254977bfbd6c49ee94ea3f,True,171900,148800,80,0.0,0,148800.0,80,50-99,1860.0
First Citizens,55a421f682f94a158dd1697efff215f2,True,20160,13440,8,0.0,0,13440.0,8,1-9,1680.0
AlaskaAir,55cc88fd03c34291a47f41b5bf121f27,True,93598,24000,10,0.0,0,24000.0,10,10-24,2400.0
ElevateQA,55ffc76c38094b1eb012e768601b3ee8,True,84660,55020,35,0.0,0,55020.0,35,25-49,1572.0
Gannett | USA Today Network,569b2b86649347a29fbb6288cedc272d,True,23041,23041,10,0.0,0,23041.0,10,10-24,2304.1
Nederlandse Spoorwegen N.V.,56cbd76420ab4d3f91a6e68a2b17b9eb,True,89163,1161,0,82459.32,64,83620.32,64,50-99,1306.5675
Cardinal Health - EPST,579110f99556441c83ee2d974e4745d2,True,21600,21600,12,0.0,0,21600.0,12,10-24,1800.0
Gilead,57ead1e69ec442c79857bf603e8c1b64,True,51636,9600,4,0.0,0,9600.0,4,1-9,2400.0
Salesforce Field Services,580549316f8e4d0ea574b73af5b060b9,True,211781,26981,20,0.0,0,26981.0,20,10-24,1349.05
Hellenic Bank,5822865fec0843ba969d59f1d6481070,True,15042,0,0,6471.48,3,6471.48,3,1-9,2157.16
MediaMarktSaturn Technology,58700088d8b140328d9c20faf8a2ac57,False,14421,5,0,14416.81,5,14421.81,5,1-9,2884.362
CVP_ADMIN,58854b1b172340d9a53aad87afacd4ee,True,138596,89600,60,0.0,0,89600.0,60,50-99,1493.3333333333333
cloud-test,58f86f5f0908495fb8942149da16ac58,True,15120,6480,3,0.0,0,6480.0,3,1-9,2160.0
salesforce.com,59bebe79f7b34f79b6efb6b58b21a894,True,74198,74198,55,0.0,0,74198.0,55,50-99,1349.0545454545454
ServiceChannel,59f7910731fe4e46a6ad423584320f2b,True,118596,118596,76,0.0,0,118596.0,76,50-99,1560.4736842105262
emirates,5a2079b92ba04aec911a40fe657558c1,True,229913,0,0,126713.16,110,126713.16,110,100-249,1151.937818181818
Move Sales,5a295c52951c45ed968b35318d3ae874,True,360000,172800,100,0.0,0,172800.0,100,100-249,1728.0
New Relic Engineering,5a738cee3f19436f866c46d6a97657b3,True,190500,183000,125,0.0,0,183000.0,125,100-249,1464.0
Benjamin Moore,5ac8254d7e694a46ad7d66d05f280498,True,24000,24000,10,0.0,0,24000.0,10,10-24,2400.0
Smiles,5acebf127280496cadb6fca53bf5f253,True,83040,14400,6,0.0,0,14400.0,6,1-9,2400.0
eToro,5b5f26a5c70f46e39c662e73e9fb4411,True,105000,0,0,4200.0,5,4200.0,5,1-9,840.0
American Greetings,5c2abd3646494f5782f94c6bf9d0bd12,True,24000,24000,10,0.0,0,24000.0,10,10-24,2400.0
Kiva,5cae0895b4164d598ef0f85dac45ff31,True,22680,22680,10,0.0,0,22680.0,10,10-24,2268.0
IHG,5cb3a298619e451c8420912b7b11f476,True,51960,20880,10,0.0,0,20880.0,10,10-24,2088.0
Adobe Systems,5d30efae8ea9420b9432d65fd86832db,True,7188,7188,8,0.0,0,7188.0,8,1-9,898.5
Transics International BV,5daf68c1e9af4af191cd916611e25e41,True,18488,0,0,15807.34,8,15807.34,8,1-9,1975.9175
Wellframe,5dc38ee758294c99a3304d3969d93032,True,83400,57240,55,0.0,0,57240.0,55,50-99,1040.7272727272727
UncommonGoods,5e58eb357a2248b5bad8c9269677156d,True,16692,14304,8,0.0,0,14304.0,8,1-9,1788.0
Salesforce - Krux,5ec52218349244bb945afd3500625e91,True,24436,20236,15,0.0,0,20236.0,15,10-24,1349.0666666666666
Roller,5ee4f1fccf024ff9b156b556d1f7d7a7,True,79260,0,0,56700.03,35,56700.03,35,25-49,1620.000857142857
ASOS.com Limited,5f0879a492a34a65bed03ff80669534e,True,93720,0,0,86520.01,80,86520.01,80,50-99,1081.500125
Groupon,5f1df2a0ffda4b2697b6f266c5d12d37,False,199519,204000,100,0.0,0,204000.0,100,100-249,2040.0
98point6,60377fcb05874673a69caf831db4c445,True,95760,30240,42,0.0,0,30240.0,42,25-49,720.0
Rogers,603b69a8657b48e797967bbff87e7e51,True,252108,48600,66,0.0,0,48600.0,66,50-99,736.3636363636364
lululemon,606bd4e780834607806daef9420647a3,True,117264,86184,42,0.0,0,86184.0,42,25-49,2052.0
IBM,6079e2c15d5c4a5b92397fec1827476c,True,20056,20056,10,0.0,0,20056.0,10,10-24,2005.6
Plexus,61452b672b4a4843a818ea127372f532,True,23760,14400,20,0.0,0,14400.0,20,10-24,720.0
T-Mobile,61d0019dee834e6abd9003623a3eb3be,True,239735,103308,75,0.0,0,103308.0,75,50-99,1377.44
Citrix,61f995005f3b41968652be49b7595d53,True,30379,23731,12,0.0,0,23731.0,12,10-24,1977.5833333333333
GoPro,624a501ffde74038a9c329e359a00f19,True,128400,67200,80,0.0,0,67200.0,80,50-99,840.0
Accenture,6253b23d7cc44ae49108c1f3cbbc37a3,True,20400,20400,10,0.0,0,20400.0,10,10-24,2040.0
Applause,6262157912374b2b83414798a353032e,True,156600,36000,30,0.0,0,36000.0,30,25-49,1200.0
"Kyruus, Inc.",628c26c0368e47e3ac0b70429f348c37,True,6675,6675,5,0.0,0,6675.0,5,1-9,1335.0
FressnapfTest,62f53128f4d647a89e8f461ae4528baa,True,18539,0,0,8940.05,5,8940.05,5,1-9,1788.0099999999998
NextGear,62ffa50b71954c0fac699c224d63720f,True,56902,56902,30,0.0,0,56902.0,30,25-49,1896.7333333333333
Qurate,63692684cb34455796c64161bae00103,True,160992,18720,10,0.0,0,18720.0,10,10-24,1872.0
Salesforce Marketing Cloud,639bba49f09c4ffa946b4ac62588f10c,True,40472,40472,30,0.0,0,40472.0,30,25-49,1349.0666666666666
FarmersQA,63b4805455584b4bb152369e0fe360b8,True,94680,50400,21,0.0,0,50400.0,21,10-24,2400.0
1&1 Mail & Media,6402150cf131474e95c0c139597cbb1a,True,51065,0,0,51065.29,40,51065.29,40,25-49,1276.63225
New Work SE,640d80bb0a8f477cbb14088f95cc1f75,True,110764,0,0,98952.0,65,98952.0,65,50-99,1522.3384615384616
Simplyhealth,65494a5f29e64fac8ebd2c2718d9033a,True,24104,0,0,8662.48,4,8662.48,4,1-9,2165.62
Herbalife Nutrition Ltd,656e3a7d13d04d219bc36ef5b2839c4a,True,372530,178800,150,0.0,0,178800.0,150,100-249,1192.0
Virtru,65b9a4e481c849c592f676bb374e1f2d,True,76500,76500,50,0.0,0,76500.0,50,50-99,1530.0
Vanguard Saucelabs Users,66f2102074f248c0b850970662fdf7c6,False,274776,315000,150,0.0,0,315000.0,150,100-249,2100.0
AS Adventure Group,671d56de9f784bec8e0024128806f822,True,22149,0,0,12072.26,6,12072.26,6,1-9,2012.0433333333333
Gigaclear,674f1d62470d4857ae930d51ab42fa1f,True,16248,0,0,1631.96,2,1631.96,2,1-9,815.98
OutSystems,683bf78d0102401392ed8217cfd1c181,True,111200,0,0,30742.91,16,30742.91,16,10-24,1921.431875
parsable,693f5dd5d91b468185c3683d7ec92aa7,True,66549,66549,40,0.0,0,66549.0,40,25-49,1663.725
Mallgroup,694f846ea4cd4621bd5ddc7b274a954c,True,17143,0,0,17142.86,10,17142.86,10,10-24,1714.286
American First Finance,69d49a1d74bc4bd4b6e28785df803ad3,True,36000,36000,15,0.0,0,36000.0,15,10-24,2400.0
Emeis Cosmetics Pty Ltd.,69e5db3e91a64de4b5820a10ba3c9eeb,True,28800,4800,2,0.0,0,4800.0,2,1-9,2400.0
PennyMac - User Portal,6a1a02be6cbe43738e65766d2e171c7f,True,122436,116220,65,0.0,0,116220.0,65,50-99,1788.0
Providence Health & Services,6a33145c10df4ba9b6686742af6fbf58,True,45900,31500,15,0.0,0,31500.0,15,10-24,2100.0
lilly,6addfd0bba764f42ade7d84e317097e9,True,112200,60000,25,0.0,0,60000.0,25,25-49,2400.0
"Plex Systems, Inc.",6aed39760fdf4a3083105a04242489de,True,45684,35160,20,0.0,0,35160.0,20,10-24,1758.0
GetWellNetwork,6bb483d097954b28a9352c430dc155ae,True,34200,11400,5,0.0,0,11400.0,5,1-9,2280.0
Kaiser Permanente,6c0f594587ad4b9d8bdafce85c34ad9f,False,92664,104708,40,0.0,0,104708.0,40,25-49,2617.7
EBSCO Information Services,6d182312f5e34dc9a4dd2cc8bfd458e8,True,96000,96000,40,0.0,0,96000.0,40,25-49,2400.0
Blue Yonder,6d3a68433bf0488d930efb9a4759253e,True,51574,29754,26,0.0,0,29754.0,26,25-49,1144.3846153846155
Life360,6d3c474f5c294c3a980d189310050fdd,True,150000,89066,95,0.0,0,89066.0,95,50-99,937.5368421052632
Meijer,6d48bab7cb3443ca80a23377a476f8dc,True,96000,72000,30,0.0,0,72000.0,30,25-49,2400.0
Sirius XM - care.sirusxm.com,6d974ef3cb184c39a67248921859644f,True,68640,44640,20,0.0,0,44640.0,20,10-24,2232.0
Schwab,6e628f9ca34d4d3a81fda1b9efb1075b,True,1281866,1129968,529,0.0,0,1129968.0,529,500+,2136.0453686200376
Fanatics,6eb144c269894a45849945fbe6c8f121,True,113700,105300,65,0.0,0,105300.0,65,50-99,1620.0
ARIAT,6f35dfb293974d198f0bef695c367fee,True,25584,25584,13,0.0,0,25584.0,13,10-24,1968.0
PharmaConnect,6f86d05dc90f48c6adb220a9a98d184c,True,18000,18000,10,0.0,0,18000.0,10,10-24,1800.0
"Okta, Inc.",6fa21c1f57fe46c4a900b501d539073d,True,67320,67320,30,0.0,0,67320.0,30,25-49,2244.0
LEGO,6fab798fb57a47b6ad215cddae867560,True,91260,0,0,38160.0,20,38160.0,20,10-24,1908.0
Metro,6fb3b4dd137f4086bad68f09f57de4ce,True,168481,0,0,147053.38,75,147053.38,75,50-99,1960.7117333333333
GCHQ,70bed9c053c64ac2829c6b20eea1a879,True,7200,0,0,7200.04,3,7200.04,3,1-9,2400.0133333333333
California Coast Credit Union,70d1e1dff0d049ea92722c0111f54ee3,True,20160,12960,6,0.0,0,12960.0,6,1-9,2160.0
Boston Scientific,713875bf779d4752a661e1e51c589a99,True,35340,0,0,19440.0,9,19440.0,9,1-9,2160.0
Squarespace,71e00a9fc7c04a6394eedf45a2e5067a,True,51768,46968,20,0.0,0,46968.0,20,10-24,2348.4
Resideo,7363ad723e10457d9aa7fa3eb16dc1ea,True,77126,77126,40,0.0,0,77126.0,40,25-49,1928.15
Twitter,738477b236cf46f48f092da946beabb6,True,1046400,856800,1000,0.0,0,856800.0,1000,500+,856.8
H-E-B Grocery,740e7b409834424eb29f62999b33d12e,True,386400,156000,100,0.0,0,156000.0,100,100-249,1560.0
Charter - real devices,7491dd130f0341b08fad5d6d42a2598a,True,21351,9089,5,0.0,0,9089.0,5,1-9,1817.8
Maplesoft,74b3bccb4e91417eb7b104a82874f08f,True,17426,17426,10,0.0,0,17426.0,10,10-24,1742.6
Lloyds Banking Group,74f4793c698340a6bde381b03f5fbf35,True,137086,1,0,137085.0,65,137086.0,65,50-99,2109.0153846153844
Charter - Digital Marketing,752dfd34487a4c27a22f35295f42147c,True,76858,25334,20,0.0,0,25334.0,20,10-24,1266.7
Domuso,7539a206121c41fda45195bcf733aa6a,True,42792,34944,32,0.0,0,34944.0,32,25-49,1092.0
ARMS Business Solutions,754e668ef5a54391acaec799861683bd,True,12000,12000,5,0.0,0,12000.0,5,1-9,2400.0
MSG,755a5a28e9c74df88959a337fdbc46d0,True,46800,39600,20,0.0,0,39600.0,20,10-24,1980.0
SquareRootSoftReg,75cc7040b607412a805c566b75d0a2d8,True,22752,3285,2,0.0,0,3285.0,2,1-9,1642.5
iqvia,75d034a6c18b4e9c9a605ea67326326b,True,84187,4176,4,0.0,0,4176.0,4,1-9,1044.0
"Nasdaq, Inc",75e8a1d6580346789dd2f885397e2a7f,True,146856,41760,68,0.0,0,41760.0,68,50-99,614.1176470588235
Vanguard Charitable,75f05ef5439f40b1b8610c427989fcd5,True,20580,12480,8,0.0,0,12480.0,8,1-9,1560.0
BP - Navitas,769e62b3a2af492f8a831e62e3a98dd6,True,64420,1,0,33218.64,21,33219.64,21,10-24,1581.887619047619
Accenture - Caterpillar,776c800386a44592a8aa1f8abdd3498a,True,46800,16800,10,0.0,0,16800.0,10,10-24,1680.0
The Washington Post,776d5859d5dc424e92414466529b0271,True,112560,76560,55,0.0,0,76560.0,55,50-99,1392.0
Corteva,7787526cdf6a48068191eead6be12a12,True,99600,48000,10,0.0,0,48000.0,10,10-24,4800.0
NebulaPlatform,7823dc48f32445fb9c444816d003af8e,True,37542,0,0,15016.88,8,15016.88,8,1-9,1877.11
Frankmout,7848e259d6a144a1933baa61bf43b2c8,True,46726,0,0,4095.0,3,4095.0,3,1-9,1365.0
OptumTest,78d9e644185246b3af6734166bc71c72,True,2615317,2222701,2000,0.0,0,2222701.0,2000,500+,1111.3505
saravana.nallasivan,793e71d4ef4345ca927002d368edf3c2,True,10815,0,0,3611.81,2,3611.81,2,1-9,1805.905
Purpose Financial,795d273991c14ea19d714f2ed8a6e4bd,True,57600,38160,25,0.0,0,38160.0,25,25-49,1526.4
RALLY,7aaf059ed3e64d4783a803d7a05643df,True,99600,73920,50,0.0,0,73920.0,50,50-99,1478.4
Regions Bank,7b3b7f1d92344fde9fe703ac3744c065,True,220500,220500,125,0.0,0,220500.0,125,100-249,1764.0
Spireon,7c21d67c80f74049950933371b2ead36,True,29708,28800,12,0.0,0,28800.0,12,10-24,2400.0
Advisor Group,7c57e3ebb90045d3acb19d502ae3e57a,True,28800,19200,8,0.0,0,19200.0,8,1-9,2400.0
LabCorp,7c93fc604f0d4a12867132509d49b6fc,True,43920,43920,20,0.0,0,43920.0,20,10-24,2196.0
Godaddy,7d68c8b953c1419887e2636e52c7c7e5,True,109620,78720,40,0.0,0,78720.0,40,25-49,1968.0
HUK-Coburg,7d7810a2419f4263b25af2afc63b831e,True,81391,0,0,22857.14,20,22857.14,20,10-24,1142.857
Healthgrades,7df881e99ebe404ba87474e8db292824,True,91200,45600,30,0.0,0,45600.0,30,25-49,1520.0
"Absa Bank, Ltd.",7e2e07e453a044a8ba696db78cc0f33e,True,92880,0,0,17280.0,32,17280.0,32,25-49,540.0
"Fossil, Inc.",7e91180b29694e30988e75c226481118,True,24000,24000,10,0.0,0,24000.0,10,10-24,2400.0
BP - Treasury,7fca3ed907974807a9d8a241daaeac91,True,8502,0,0,8502.35,5,8502.35,5,1-9,1700.47
Indeed,8031bdfea42f403da521ddaac7bfe848,True,324000,324000,300,0.0,0,324000.0,300,250-499,1080.0
epam,8102a00a42e0472cbb315deafe349cc5,True,72000,33600,35,0.0,0,33600.0,35,25-49,960.0
camelot,81ce68fea39a4541bd2c1375a324a3e8,True,199199,0,0,180000.01,100,180000.01,100,100-249,1800.0001000000002
Disney Corp.,81e063fd405c4798ac4030d2780abd28,True,62219,62219,30,0.0,0,62219.0,30,25-49,2073.9666666666667
Abbott,82e4982d233f4d6cace94ae8c1f10511,True,72720,62330,29,4449.6,2,66779.6,31,25-49,2154.1806451612906
Regeneron,832409bbb4894f1384b759df77a6880b,True,45360,10000,10,0.0,0,10000.0,10,10-24,1000.0
"Sumo Logic, Inc.",833f582fe444443c871641f82cd4099b,True,150015,22915,25,0.0,0,22915.0,25,25-49,916.6
SYF Entreprise,835e6c8077b849e7b8befd65d3c0a666,True,1086976,138600,132,0.0,0,138600.0,132,100-249,1050.0
Surescripts,83c7de7e8f4946f795645f5c7651cbf8,True,43080,24000,20,0.0,0,24000.0,20,10-24,1200.0
FinancialForce,8411acf6f777437ba49eed7521a2d35c,True,24000,24000,10,0.0,0,24000.0,10,10-24,2400.0
Lampenwelt GmbH,84177ff45b5e44cabdd0a3bc9686083b,True,12000,0,0,12000.11,5,12000.11,5,1-9,2400.022
COX Automotive,848b54ca4bbf493ea95b63c5c7c3527e,True,130560,68750,80,0.0,0,68750.0,80,50-99,859.375
Cheetah Digital,848cac6b913e46e0a90f69c8d9256ea1,True,39787,39787,31,0.0,0,39787.0,31,25-49,1283.4516129032259
Allego,84aed1896daa47acba2953749378c49c,True,21960,18000,11,0.0,0,18000.0,11,10-24,1636.3636363636363
bkbsl,84df1e049f3249649159badb73720508,True,11566,0,0,9060.0,5,9060.0,5,1-9,1812.0
GordonFoodService,85043652f3b34f0594fcbf09f201c233,True,34618,34617,30,0.0,0,34617.0,30,25-49,1153.9
Abbott Laboratories,8519625cc1de4f73b859c25bc1263f54,True,9425,2225,1,0.0,0,2225.0,1,1-9,2225.0
Pearson Marketing Cloud (PMC),85f738890fbd4e6d8e2950fc4e6e8f2d,True,44729,0,0,19529.98,15,19529.98,15,10-24,1301.9986666666666
Imperial College,869b39c5fe9e4d5190fc97d1ae867965,True,12360,0,0,8159.83,8,8159.83,8,1-9,1019.97875
Amway ID,86a59a4c863245bba3ec32a6e0e56171,False,11433,22200,5,0.0,0,22200.0,5,1-9,4440.0
Ada Health,86f76ea9f6f1463996b02edd41ed1ded,True,20160,0,0,5040.0,3,5040.0,3,1-9,1680.0
PepsiCo,8741ee65f60b4a93bd43e84eb2766fe0,True,17676,5724,3,0.0,0,5724.0,3,1-9,1908.0
nautilusfrontend,875fbb4aa1e64f5584a339490d0582c3,True,6389664,4727950,5500,0.0,0,4727950.0,5500,500+,859.6272727272727
PCIPAL,87a6ec0418ad40948889c18003619ffe,True,3264,0,0,3263.94,2,3263.94,2,1-9,1631.97
Cargill,8810ae42199b43848f8ccbf17e21ff69,True,43000,16800,10,0.0,0,16800.0,10,10-24,1680.0
Peoplenet,89f6c9c313ba4ed9b6a4e014c47d134f,True,21600,21600,10,0.0,0,21600.0,10,10-24,2160.0
1010data,8a6a62d6e9044c85b60418211262efdf,True,20549,20549,10,0.0,0,20549.0,10,10-24,2054.9
Blue Shield of California,8aeb697cc55f42dd8590e7ceebcbe339,True,178294,43414,37,0.0,0,43414.0,37,25-49,1173.3513513513512
The Toro Company,8bf9128b2de747e19fe750a345bc2b09,True,32081,32081,14,0.0,0,32081.0,14,10-24,2291.5
Dailymotion,8c558ac522dd4ab6be2bb86e4178d859,True,8952,0,0,1788.0,1,1788.0,1,1-9,1788.0
Toyota Motor Credit Corporation,8ccfc35d2daf48f5a5e04d2671e6954d,True,99300,10800,10,0.0,0,10800.0,10,10-24,1080.0
Cineplex D&T,8d279d79eb72475dabaa547fa638911c,True,18360,6120,3,0.0,0,6120.0,3,1-9,2040.0
Express Scripts,8d3650a424114a919ad713b0546ef744,True,216362,216362,100,0.0,0,216362.0,100,100-249,2163.62
Varo Money,8dbe168a601048c691d49bd6d605d085,True,70452,23484,10,0.0,0,23484.0,10,10-24,2348.4
Connections Education,8df062f33af847d7bd64122d21357ea2,True,57030,30604,30,0.0,0,30604.0,30,25-49,1020.1333333333333
LegalShield,8e0d8263349344dcaecff76d5630f5c3,True,55200,36000,15,0.0,0,36000.0,15,10-24,2400.0
Chanel,8e3416bcec96448cbec3fa0721241ed2,True,66804,0,0,66804.42,50,66804.42,50,50-99,1336.0883999999999
tiktok_saucelabs,8e8646d7ae91413484b58b922b4b4118,True,21840,21840,12,0.0,0,21840.0,12,10-24,1820.0
Pacific Life RSD,8eda437fc72b4f3fa355615cca236304,True,19200,9600,4,0.0,0,9600.0,4,1-9,2400.0
Roche Molecular Systems,8ee0fadd443b4eeb94385a6628fc2ad3,False,19200,36000,6,0.0,0,36000.0,6,1-9,6000.0
PTC,90754d5c4f73412e98cb987571037d93,True,19669,19669,10,0.0,0,19669.0,10,10-24,1966.9
"AutoNation, Inc.",90f69aa2fa3c4b3fbd86def96bed1c18,True,47808,33408,16,0.0,0,33408.0,16,10-24,2088.0
White Cap,9115963587c445e7a99a2cbadf8db582,True,12000,12000,5,0.0,0,12000.0,5,1-9,2400.0
BenefitHub Web Mobile,91ec1ca759234a2a8cd09c567e922918,True,27900,16200,8,0.0,0,16200.0,8,1-9,2025.0
NBCUniversal,923826ff5d164050a76d94ea4b3d13e8,True,57165,57165,25,0.0,0,57165.0,25,25-49,2286.6
ETRADE,9254b6056ee645288bb5e9c0b8d0009d,True,231960,135960,125,0.0,0,135960.0,125,100-249,1087.68
Cox Automotive - CRS,92e56edd912a4129997e946a7b93aab1,True,68750,68750,40,0.0,0,68750.0,40,25-49,1718.75
Kotak Securities Ltd,92e6a1f120b6411fa86962cd62fba8d9,True,11376,1776,1,0.0,0,1776.0,1,1-9,1776.0
TransUnion,932b9ab352e84d53bcca3145fecf1dc0,True,18540,18540,10,0.0,0,18540.0,10,10-24,1854.0
WestJet,943dee4af279426eaee69ac5ecf35278,True,84000,39168,20,0.0,0,39168.0,20,10-24,1958.4
Blend Labs,94befe0ff7c44062841eadcac05e5e8a,True,28659,21240,10,0.0,0,21240.0,10,10-24,2124.0
ING,94df2e68797c4b8f943dfb65276dd7ae,True,40320,0,0,15600.0,10,15600.0,10,10-24,1560.0
BOQ,94eda36007754668883aadd5800fd73f,True,135120,19920,10,0.0,0,19920.0,10,10-24,1992.0
John Deere IT,95725b837fb94586b14a5a92691d5d5e,True,26161,22673,13,3488.16,2,26161.16,15,10-24,1744.0773333333334
WorkJam,95f1aaf6ec33454bac1e768ddadd6db0,False,9000,22500,4,0.0,0,22500.0,4,1-9,5625.0
The RealReal,962ac955c5d645c080ff019add2158c8,True,24218,10773,5,0.0,0,10773.0,5,1-9,2154.6
Infosys Limited,963c3447b33b4b86809ef96a7a22e058,True,111296,24658,15,0.0,0,24658.0,15,10-24,1643.8666666666666
NSWDoE,963df629f6a1415ead3f1475ea530b88,False,10800,16128,6,0.0,0,16128.0,6,1-9,2688.0
Voya Financial,9649f64d765242998cbaf99e78faa3c5,True,181567,46417,30,0.0,0,46417.0,30,25-49,1547.2333333333333
Openbank,96acc0ec237440958d9904011184d5ff,True,168000,0,0,28800.01,15,28800.01,15,10-24,1920.0006666666666
Spark Ventures NZ,96c4c3162c9144bb856519351694dd5f,True,23602,23602,10,0.0,0,23602.0,10,10-24,2360.2
Yahoo Inc !,97c8f05970dd445f950cae18040941ce,True,1193432,861840,950,0.0,0,861840.0,950,500+,907.2
IKEA_TE,97d0366d59f0429e977db4ee061fb7ca,True,83624,0,0,36018.0,25,36018.0,25,25-49,1440.72
Sales-I,9806b1792b9f41d4a6862b31c64fa7b1,True,16939,0,0,8469.06,4,8469.06,4,1-9,2117.265
Central1 Credit Union,981c99cd63634b52a48e63a4667e3bc7,True,19080,14304,8,0.0,0,14304.0,8,1-9,1788.0
"ONESTIC, INNOVACION Y DESARROLLO S.L.",9909c9cbfec64406b23fa271fa36ac5c,True,37570,0,0,16024.8,12,16024.8,12,10-24,1335.3999999999999
Serko,9972b511fb2f44bb8e70118b2340af4f,True,11712,11712,8,0.0,0,11712.0,8,1-9,1464.0
1800Flowers,9a112f77ad7341df95b5fe85a4fe310b,True,194126,99031,58,3414.84,2,102445.84,60,50-99,1707.4306666666666
Generali Business Solutions,9b60a70239654dc4b882b5e46c1f73af,True,108783,0,0,21000.06,10,21000.06,10,10-24,2100.0060000000003
StockX,9b7918a7d2cd4268a5eea86c307d5212,True,29952,8352,4,0.0,0,8352.0,4,1-9,2088.0
Care.com,9b8b8f66a4084716890435b9cd14386d,True,255000,118608,62,13440.0,8,132048.0,70,50-99,1886.4
Kingfisher Group,9ba26c782675430fade395c4db380d3d,True,132120,96900,40,0.0,0,96900.0,40,25-49,2422.5
Skyscanner,9ba7aceaff2045c7a292a7a83f51080b,True,15837,0,0,7437.0,5,7437.0,5,1-9,1487.4
Canva,9c4bbbba05a34d13b105d23dac4515f5,False,19500,66744,5,0.0,0,66744.0,5,1-9,13348.8
Consumer Financial Protection Bureau,9ce7053a518e4022bbe058074845b7a6,True,12978,12978,15,0.0,0,12978.0,15,10-24,865.2
Bison Schweiz AG,9d03b25bbeea424098b6fa9c220630b6,True,41124,0,0,41123.77,15,41123.77,15,10-24,2741.5846666666666
Genesys,9e218ac151fb4c908cebaf565980e4dd,True,128408,45963,110,0.0,0,45963.0,110,100-249,417.8454545454546
fidelitymaster,9e4b17ffc8a741bb820158d103d0b1f1,True,103950,0,0,103950.0,55,103950.0,55,50-99,1890.0
Euroconsumers,9e66d26009f943dc94a8bb388f5287e0,False,48570,0,0,48571.44,25,48571.44,25,25-49,1942.8576
HDS FM,9eccece22aa54e7294ef7e4bd9d0eb3d,True,102810,40800,120,0.0,0,40800.0,120,100-249,340.0
Hootsuite,9f55cf25c0bc4fffb34db5c570772ce4,True,109500,73500,35,0.0,0,73500.0,35,25-49,2100.0
Reform,9f971045f079476bb1ea7a8a50ab17e4,True,57900,0,0,50700.0,25,50700.0,25,25-49,2028.0
CDK Global LLC,9fb4d3a3c3174d53aa7bd371cc3f1c96,True,194208,158208,100,0.0,0,158208.0,100,100-249,1582.08
"Cardinal Health, Inc.(e-Commerce)",a016ae2debf74bb8a31ed44a5ef8f85f,True,14509,14509,10,0.0,0,14509.0,10,10-24,1450.9
brianjohnstonRegal,a109314168dd4454b1ee7e9614c56c1f,True,45552,17520,10,0.0,0,17520.0,10,10-24,1752.0
PayPal,a125f222b9054eea9e612f2590085793,False,260652,314119,195,0.0,0,314119.0,195,100-249,1610.8666666666666
Trafikförvaltningen,a13fd1ee142f4748a8012c5d9de9fb6b,True,20627,0,0,11460.0,5,11460.0,5,1-9,2292.0
Klick Inc,a145d0979d7f459faa0558f759c1883d,True,64964,64964,36,0.0,0,64964.0,36,25-49,1804.5555555555557
Unilever,a1a8cb448da545ae95c40dc6bc099a58,True,25380,0,0,25380.0,15,25380.0,15,10-24,1692.0
Solera,a3b170bf656a4cf9a8e58ec352f14f1c,True,94680,39480,35,0.0,0,39480.0,35,25-49,1128.0
Securian,a3f43eef6e4d406cb10ba0c4ef7b4864,True,53766,32260,15,0.0,0,32260.0,15,10-24,2150.6666666666665
Microsoft Teams,a419d73af02347f582ae01c5e6ce5c11,True,113400,99000,50,0.0,0,99000.0,50,50-99,1980.0
Testsigma,a42c43f08b284b9c8ab958c395a65515,True,60840,35640,27,0.0,10,35640.0,37,25-49,963.2432432432432
TestAtCovea,a456c61de1e24058a45d99a189215fa1,True,30868,0,0,22799.38,12,22799.38,12,10-24,1899.9483333333335
SVB QA,a4efd7d8def542e0b19c72f265a14e67,True,222240,114480,60,0.0,0,114480.0,60,50-99,1908.0
Vestmark,a51ed066c2134021b3fb0e7ccad839e6,True,19158,19158,10,0.0,0,19158.0,10,10-24,1915.8
Staples,a524ba2759e44522b77853f49652b540,True,87698,63698,32,0.0,0,63698.0,32,25-49,1990.5625
Scout24,a5a30d9ca5464909a1bbad8232b7e01d,True,19434,0,0,19433.99,10,19433.99,10,10-24,1943.3990000000001
