org_name,org_uuid,arr_ind,current_arr,current_vm_arr,vm_ccy,current_vm_arr_eu,vm_de_ccy,current_vm_arr_total,vm_ccy_total,ccy_bins,arr_per_vm,ccy_pc_perc,ccy_android_perc,ccy_mac_perc,ccy_ios_perc
Metrolinx,3e0e9115e77d4ffa9d47a325a8e5bfde,TRUE,61620,15000,10,0,0,15000,10,2:10-24,1500,0.264230159,0.226560333,0.313359697,0.195849811
Roku,3e35ec10504e467da3c023cc52946a2c,TRUE,19200,19200,10,0,0,19200,10,2:10-24,1920,1,0,0,0
AJ Digital,3fa4177629ac43a6b4bc0148ad4a27f1,TRUE,40800,12000,5,0,0,12000,5,1:1-9,2400,0.964732895,0.029320427,0.004625194,0.001321484
eMoney Advisor,3ff4af0e89694325abc4f44f335de730,TRUE,183600,22800,11,0,0,22800,11,2:10-24,2072.727273,0.561154901,0.001038086,0.427383037,0.010423977
Credit Union Australia,40144ad8647d4696b851b51911603bb3,TRUE,33120,3120,6,0,0,3120,6,1:1-9,520,0.170319407,0.003354905,0.706856913,0.119468774
Joyn GmbH,409e66c58afd4dd8b60ff0f97611d274,TRUE,16697,0,0,13887.88,8,13887.88,8,1:1-9,1735.985,0.601666873,0,0.398333127,0
BP - Salesforce,40e09fe9100b434eb8713c8f89ee0f33,TRUE,34009,0,0,34009.49,20,34009.49,20,2:10-24,1700.4745,0.999977116,2.22E-05,0,0
Netflix,411d0faf06bc4529a510e5ace569dc20,TRUE,45600,45600,20,0,0,45600,20,2:10-24,2280,0.68916307,0.015969993,0.282580812,0.012286122
Dynatrace,415fce77623945398dea95213d15c68d,TRUE,19776,0,0,19776,10,19776,10,2:10-24,1977.6,0.025659177,0.508773664,0.023875238,0.441691909
Somos,4185c966ba184d73835fdda57b37eda5,TRUE,31209,31209,25,0,0,31209,25,3:25-49,1248.36,0.998424895,0,0.001575105,0
0,41fef3b9914842948099d8c4e2f81a6f,TRUE,16718,16718,10,0,0,16718,10,2:10-24,1671.8,0,0,0,0
TechSmith Corporation,421288912f48470687ebe8dbe3ef80bf,TRUE,13596,13596,10,0,0,13596,10,2:10-24,1359.6,1,0,0,0
Tendable,42813bdad17c44a0ae3bebeabc2d60cc,TRUE,12864,0,0,1631.96,2,1631.96,2,1:1-9,815.98,0.868898845,0.05541146,0.075689696,0
WBDL,43c86c9a1eb445dcb5d6d3a145ce75f7,TRUE,48600,30600,15,0,0,30600,15,2:10-24,2040,0.48149086,0.177379723,0.341129417,0
Linxup,440ed3acbe16496c94aeaf1652a81e79,TRUE,11928,9600,4,0,0,9600,4,1:1-9,2400,0.481988348,0.11931296,0.398698692,0
"Chick-fil-A, Inc.",44a1b98e914f41f2bdee2ef888ae8f6f,TRUE,118661,35901,15,0,0,35901,15,2:10-24,2393.4,0.299891455,0.365528446,0.105656856,0.228923187
primericaRoot,45f797f9209d473c9ceb525578e711b7,TRUE,117883,63552,25,0,0,63552,25,3:25-49,2542.08,0.889499509,0.00821634,0.102284151,0
Fitbit,466b83a523c048f1b07c032cc9e1e368,TRUE,59835,59835,47,0,0,59835,47,3:25-49,1273.085106,0.996629096,0,0,0
RentPath,46949f6833044d9d8be45aaea8ff7cce,TRUE,121545,88250,60,0,0,88250,60,4:50-99,1470.833333,0.366043386,0.192800637,0.199231719,0.24192423
Wunderkind,4734713d5ed549c496bae4801185ee09,TRUE,44016,34920,17,4656,2,39576,19,2:10-24,2082.947368,0.327299556,0.01149206,0.637593799,0.023614585
Dyson,4765c045422f4f1dabc7618cf1723510,TRUE,95712,0,0,31823.19,20,31823.19,20,2:10-24,1591.1595,0.761959541,0.001471634,0.236568825,0
E.ON Digital Technology GmbH,47e80d8d2e094f7da396f35e6c2f1328,TRUE,35449,0,0,8628.72,4,8628.72,4,1:1-9,2157.18,0.175146641,0.018621358,0.177999273,0.628232728
CEFVM,47ed61dcb88948d885a9e8cca85a6634,TRUE,8862,8862,4,0,0,8862,4,1:1-9,2215.5,1,0,0,0
Viewpoint,493006db26194fd1bade42f1f9d9dfa0,TRUE,71340,30240,15,6480,3,36720,18,2:10-24,2040,0.34693789,0.607002074,0.02763602,0.018424013
"J.B. Hunt Transport, Inc",4940a9d0c3bf497c95260a6eaadf62b7,TRUE,157724,22200,10,0,0,22200,10,2:10-24,2220,0.370938578,0.628757235,0,0
Hyatt Corporation,495839285db74309a48234caa7bd529a,TRUE,88800,88800,50,0,0,88800,50,4:50-99,1776,0.704411336,0.107065845,0.037704564,0.150818255
Richemont,497582a76ff94aef87ac4a4b221dd995,TRUE,23655,0,0,23415.61,10,23415.61,10,2:10-24,2341.561,0.981826417,0.007645745,0,0
Fannie Mae,4979172e0ab841b18f71ca84d87c96c4,TRUE,548199,288000,250,0,0,288000,250,6:250-499,1152,0.993120471,0.003241806,0,0
Medtronic,49910be5b8d441b99e4a3bbe4bd7a3e3,TRUE,25040,16040,12,0,0,16040,12,2:10-24,1336.666667,0.838415294,0.161584706,0,0
"Paycor, Inc.",49a5f593097a4667ad85846f56f9a4e3,TRUE,34500,9300,8,0,0,9300,8,1:1-9,1162.5,0.964166689,0.000495354,0.035337957,0
Promofarma by DocMorris,49bab89d275a47cca811da030072aa2b,TRUE,13680,0,0,1680,1,1680,1,1:1-9,1680,0.709059706,0.044621082,0.043468096,0.202851116
Containerstore,49ea2bc753644226bde59d6a48ac5d14,TRUE,71400,51000,45,0,0,51000,45,3:25-49,1133.333333,0.875472805,0.01698722,0.087987251,0.019552723
Salesforce.com - WaveBuilder,4a1a379819fa44ea8ab55bda8019b61f,TRUE,21585,21585,40,0,0,21585,40,3:25-49,539.625,0.954634922,0,0.045365078,0
SG Sauce Labs,4a31560b432e4616bed0ec353e1cac6e,TRUE,26721,0,0,12146.25,7,12146.25,7,1:1-9,1735.178571,0.732995158,0.09661056,0.170394282,0
Coventry Building Society,4a741d2fe85f4167a1aaddf0636b0fa6,TRUE,45598,0,0,9119.98,5,9119.98,5,1:1-9,1823.996,0.280995997,0.070605182,0.56258133,0.085817491
AIB,4aa4d4b4260541a280a8a791dac81094,TRUE,108675,0,0,93997.18,45,93997.18,45,3:25-49,2088.826222,0.416361083,0.172043226,0.098425056,0.313170634
SP Digital,4adb2c3b800e452bb124a33f60b1bb48,TRUE,57600,24000,10,0,0,24000,10,2:10-24,2400,0.078578852,0.21176979,0.075266053,0.634385305
Thomson Reuters,4afaa881435b49638a2f5a86eeaab888,TRUE,12982,12982,10,0,0,12982,10,2:10-24,1298.2,0.412215762,0.17621172,0.388054061,0.023518428
Anthem,4b5648f178654b9a87426bbac6800975,TRUE,287700,47520,90,0,0,47520,90,4:50-99,528,0.989517776,0.001049354,0,0
Endava (UK) Limited,4c54fc9c91b64b27bfebf014faf2ea49,TRUE,69840,0,0,9360,12,9360,12,2:10-24,780,1,0,0,0
"Ipsy (Personalized Beauty Discovery, Inc.)",4d4e67689f1f44459268e94fae161683,TRUE,9834,9834,5,0,0,9834,5,1:1-9,1966.8,0.001653769,0.3326775,0.047547767,0.618120965
Value Stream Engineering,4d97e71424774a4b81fae77abb9d2fec,TRUE,31500,31500,25,0,0,31500,25,3:25-49,1260,0.00171124,0.339886434,0,0.658402326
SHDR,4f1a5c8fb90e41489b201e563ed89c89,TRUE,61920,61920,30,0,0,61920,30,3:25-49,2064,0.000947102,0.065820824,0.828374538,0.104857537
macys-parent,4f4f0da143ac4ebe9a6134ad079de51b,TRUE,206400,136320,80,0,0,136320,80,4:50-99,1704,0.528602217,0.016843845,0.413230852,0.041323085
Slack,4fbb068722624cc09d1eef6098431af2,TRUE,45600,45600,25,0,0,45600,25,3:25-49,1824,0.605552685,0.002018532,0.335000181,0.057428602
AGL Energy,50126e92ab9e4e9b81ef0b1c7eb2d739,TRUE,48000,24000,10,0,0,24000,10,2:10-24,2400,0.95444792,0,0.04555208,0
Salesforce Marketing Cloud,5041f14b66504e62b751bd368c5223a9,TRUE,205054,205054,155,0,0,205054,155,5:100-249,1322.929032,0.531361584,0,0.468638416,0
Sauce CSM,5056f041853f49cfbe29fc775d809533,TRUE,376283,306792,200,0,0,306792,200,5:100-249,1533.96,0.861489345,0.03034372,0.043266776,0.064900164
KDS,50a1e04ae2bc4f37b99545b7f317dd99,TRUE,12845,0,0,4939.81,2,4939.81,2,1:1-9,2469.905,0.095916533,0.006751945,0.897331522,0
Amadeus,50b1093eb19f44a1a834307bfe12353a,TRUE,79249,7199,5,65699.99,56,72898.99,61,4:50-99,1195.06541,0.964058002,0.002144993,0.033797006,0
Menlo Security,50b1d1b51eb44848ae072322cb0ce9d0,TRUE,259565,235968,270,0,0,235968,270,6:250-499,873.9555556,0.897462834,0.040145889,0.015597823,0.046793468
Domino's Pizza LLC,50c522e3e2da47eeb56e0de6b513b4a7,TRUE,93894,75115,50,0,0,75115,50,4:50-99,1502.3,0.436195432,0.16875065,0.014109068,0.380944849
Siemens Healthineers - teamplay & SHUI,514a000c142642b89aa598cefb177558,TRUE,29088,0,0,9360,7,9360,7,1:1-9,1337.142857,0.253395841,0.005153812,0.591271038,0.150164073
Family Search,52063e77facf4f8cb462f6c4092285c8,TRUE,80828,80828,125,0,0,80828,125,5:100-249,646.624,0.569809834,0.040817888,0.372443035,0.016929229
Status,52681fddcbcc444cb12f274a929e5672,TRUE,15168,0,0,15168,8,15168,8,1:1-9,1896,0,1,0,0
Sentry Insurance,528742b05edb4f76a58d7bdab18a7ff5,TRUE,49278,20952,15,0,0,20952,15,2:10-24,1396.8,0.922839876,0.019520508,0.040347731,0.017291885
"Quickbase, Inc.",52e5e04b25034ae6a52c06e114e4aa09,TRUE,206460,184140,150,0,0,184140,150,5:100-249,1227.6,0.873439324,0.001916235,0.124644442,0
integration test team,52f71057b0a7485b995c6808f517144f,TRUE,59736,41736,25,0,0,41736,25,3:25-49,1669.44,0.06155265,0,0.93844735,0
Miro,532165b2e77e44a5ae4400dddf2f92b8,FALSE,10728,10728,0,10728,6,21456,6,1:1-9,3576,0.008254827,5.15E-05,0,0.991693666
Vanco Automation,53a35907aeb5490abe800b9c7476b034,TRUE,38400,38400,16,0,0,38400,16,2:10-24,2400,0.993869954,0.00215629,0,0
IBM Cloud,53afa03423b1446e945fb9b3242fd23b,TRUE,129600,129600,60,0,0,129600,60,4:50-99,2160,0.001886243,0,0.998113757,0
American Airlines,547d6fb930254977bfbd6c49ee94ea3f,TRUE,171900,148800,80,0,0,148800,80,4:50-99,1860,0.863032338,0.080847266,0.018706399,0.037412798
First Citizens,55a421f682f94a158dd1697efff215f2,TRUE,20160,13440,8,0,0,13440,8,1:1-9,1680,0.078773176,0,0.921226824,0
AlaskaAir,55cc88fd03c34291a47f41b5bf121f27,TRUE,93598,24000,10,0,0,24000,10,2:10-24,2400,0.029747948,0.018623289,0.638287585,0.313341178
ElevateQA,55ffc76c38094b1eb012e768601b3ee8,TRUE,84660,55020,35,0,0,55020,35,3:25-49,1572,0.994213523,0.001209493,0,0
Gannett | USA Today Network,569b2b86649347a29fbb6288cedc272d,TRUE,23041,23041,10,0,0,23041,10,2:10-24,2304.1,0.42674893,0.176147953,0.371205087,0.025898029
Nederlandse Spoorwegen N.V.,56cbd76420ab4d3f91a6e68a2b17b9eb,TRUE,89163,1161,0,82459.32,64,83620.32,64,4:50-99,1306.5675,0.723037163,0.063934258,0.071009527,0.142019053
Cardinal Health - EPST,579110f99556441c83ee2d974e4745d2,TRUE,21600,21600,12,0,0,21600,12,2:10-24,1800,0.993898655,0.004938747,0,0
Gilead,57ead1e69ec442c79857bf603e8c1b64,TRUE,51636,9600,4,0,0,9600,4,1:1-9,2400,0.115248171,0.000294526,0.884457303,0
Salesforce Field Services,580549316f8e4d0ea574b73af5b060b9,TRUE,211781,26981,20,0,0,26981,20,2:10-24,1349.05,0,0.446148371,0,0.553851629
Hellenic Bank,5822865fec0843ba969d59f1d6481070,TRUE,15042,0,0,6471.48,3,6471.48,3,1:1-9,2157.16,0.226641776,0.008623035,0,0
MediaMarktSaturn Technology,58700088d8b140328d9c20faf8a2ac57,FALSE,14421,5,0,14416.81,5,14421.81,5,1:1-9,2884.362,0.748764618,0.004629688,0.215779982,0.030825712
CVP_ADMIN,58854b1b172340d9a53aad87afacd4ee,TRUE,138596,89600,60,0,0,89600,60,4:50-99,1493.333333,0.996329217,0.00019407,0,0
cloud-test,58f86f5f0908495fb8942149da16ac58,TRUE,15120,6480,3,0,0,6480,3,1:1-9,2160,0.887183634,0.001981759,0.110834607,0
salesforce.com,59bebe79f7b34f79b6efb6b58b21a894,TRUE,74198,74198,55,0,0,74198,55,4:50-99,1349.054545,0.761416383,0.001795649,0.236787968,0
ServiceChannel,59f7910731fe4e46a6ad423584320f2b,TRUE,118596,118596,76,0,0,118596,76,4:50-99,1560.473684,0.565531487,0.154459391,0.01750057,0.26250855
emirates,5a2079b92ba04aec911a40fe657558c1,TRUE,229913,0,0,126713.16,110,126713.16,110,5:100-249,1151.937818,0.21722333,0.186301711,0.585822718,0.010651322
Move Sales,5a295c52951c45ed968b35318d3ae874,TRUE,360000,172800,100,0,0,172800,100,5:100-249,1728,0.119903419,0.254583331,0.517090942,0.108422294
New Relic Engineering,5a738cee3f19436f866c46d6a97657b3,TRUE,190500,183000,125,0,0,183000,125,5:100-249,1464,0.690428647,0.013325768,0.273457463,0.022788122
Benjamin Moore,5ac8254d7e694a46ad7d66d05f280498,TRUE,24000,24000,10,0,0,24000,10,2:10-24,2400,0.917031459,0.036326818,0.023320861,0.023320861
Smiles,5acebf127280496cadb6fca53bf5f253,TRUE,83040,14400,6,0,0,14400,6,1:1-9,2400,0.16705649,0.458943576,0.119361681,0.254638253
eToro,5b5f26a5c70f46e39c662e73e9fb4411,TRUE,105000,0,0,4200,5,4200,5,1:1-9,840,0.063002874,0.112795801,0.686834437,0.137366887
American Greetings,5c2abd3646494f5782f94c6bf9d0bd12,TRUE,24000,24000,10,0,0,24000,10,2:10-24,2400,0.477567739,0.000109662,0.522322598,0
Kiva,5cae0895b4164d598ef0f85dac45ff31,TRUE,22680,22680,10,0,0,22680,10,2:10-24,2268,3.85E-05,0,0.999961456,0
IHG,5cb3a298619e451c8420912b7b11f476,TRUE,51960,20880,10,0,0,20880,10,2:10-24,2088,0.01309583,0.002868157,0,0.984036013
Adobe Systems,5d30efae8ea9420b9432d65fd86832db,TRUE,7188,7188,8,0,0,7188,8,1:1-9,898.5,0,0,0,0
Transics International BV,5daf68c1e9af4af191cd916611e25e41,TRUE,18488,0,0,15807.34,8,15807.34,8,1:1-9,1975.9175,0.182378622,0.327459744,0.482620686,0.007540948
Wellframe,5dc38ee758294c99a3304d3969d93032,TRUE,83400,57240,55,0,0,57240,55,4:50-99,1040.727273,0,0.32891111,0,0.67108889
UncommonGoods,5e58eb357a2248b5bad8c9269677156d,TRUE,16692,14304,8,0,0,14304,8,1:1-9,1788,0.663573051,0.06900323,0.073772061,0.193651659
Salesforce - Krux,5ec52218349244bb945afd3500625e91,TRUE,24436,20236,15,0,0,20236,15,2:10-24,1349.066667,0,0,0,0
Roller,5ee4f1fccf024ff9b156b556d1f7d7a7,TRUE,79260,0,0,56700.03,35,56700.03,35,3:25-49,1620.000857,0.693501272,0,0.306498728,0
ASOS.com Limited,5f0879a492a34a65bed03ff80669534e,TRUE,93720,0,0,86520.01,80,86520.01,80,4:50-99,1081.500125,0.843926251,0.012339057,0.047911565,0.095823131
Groupon,5f1df2a0ffda4b2697b6f266c5d12d37,FALSE,199519,204000,100,0,0,204000,100,5:100-249,2040,0.504163129,0.000468046,0.495364492,0
98point6,60377fcb05874673a69caf831db4c445,TRUE,95760,30240,42,0,0,30240,42,3:25-49,720,0.00718352,0.647167289,0,0.345649191
Rogers,603b69a8657b48e797967bbff87e7e51,TRUE,252108,48600,66,0,0,48600,66,4:50-99,736.3636364,0.636557068,0.158146491,0.114053565,0.091242852
lululemon,606bd4e780834607806daef9420647a3,TRUE,117264,86184,42,0,0,86184,42,3:25-49,2052,0.570201693,0.001894711,0.427903596,0
IBM,6079e2c15d5c4a5b92397fec1827476c,TRUE,20056,20056,10,0,0,20056,10,2:10-24,2005.6,0,0.078452727,0,0.921547273
Plexus,61452b672b4a4843a818ea127372f532,TRUE,23760,14400,20,0,0,14400,20,2:10-24,720,0.171242778,0.058082956,0.609637852,0.161036414
T-Mobile,61d0019dee834e6abd9003623a3eb3be,TRUE,239735,103308,75,0,0,103308,75,4:50-99,1377.44,0.235351032,0.204629036,0.010980783,0.54903915
Citrix,61f995005f3b41968652be49b7595d53,TRUE,30379,23731,12,0,0,23731,12,2:10-24,1977.583333,0.007348167,0.000387988,0.992263845,0
GoPro,624a501ffde74038a9c329e359a00f19,TRUE,128400,67200,80,0,0,67200,80,4:50-99,840,0.951294877,2.05E-05,0.048684611,0
Accenture,6253b23d7cc44ae49108c1f3cbbc37a3,TRUE,20400,20400,10,0,0,20400,10,2:10-24,2040,1,0,0,0
Applause,6262157912374b2b83414798a353032e,TRUE,156600,36000,30,0,0,36000,30,3:25-49,1200,0.744439212,0.022058999,0.233501788,0
"Kyruus, Inc.",628c26c0368e47e3ac0b70429f348c37,TRUE,6675,6675,5,0,0,6675,5,1:1-9,1335,0.762538169,0.018070021,0.206228301,0.013163509
FressnapfTest,62f53128f4d647a89e8f461ae4528baa,TRUE,18539,0,0,8940.05,5,8940.05,5,1:1-9,1788.01,0.911171129,0.010642357,0.060811732,0.017374781
NextGear,62ffa50b71954c0fac699c224d63720f,TRUE,56902,56902,30,0,0,56902,30,3:25-49,1896.733333,0.85812251,0.128647344,0,0
Qurate,63692684cb34455796c64161bae00103,TRUE,160992,18720,10,0,0,18720,10,2:10-24,1872,0.760367862,0.005738713,0.233893425,0
Salesforce Marketing Cloud,639bba49f09c4ffa946b4ac62588f10c,TRUE,40472,40472,30,0,0,40472,30,3:25-49,1349.066667,0.999954269,0,0,0
FarmersQA,63b4805455584b4bb152369e0fe360b8,TRUE,94680,50400,21,0,0,50400,21,2:10-24,2400,0.46973642,0.002692634,0.527570947,0
1&1 Mail & Media,6402150cf131474e95c0c139597cbb1a,TRUE,51065,0,0,51065.29,40,51065.29,40,3:25-49,1276.63225,0.654924312,0.341482525,0,0
New Work SE,640d80bb0a8f477cbb14088f95cc1f75,TRUE,110764,0,0,98952,65,98952,65,4:50-99,1522.338462,0.888238468,0.00069041,0.044428449,0.066642674
Simplyhealth,65494a5f29e64fac8ebd2c2718d9033a,TRUE,24104,0,0,8662.48,4,8662.48,4,1:1-9,2165.62,0.233187789,0.003396029,0.763416182,0
Herbalife Nutrition Ltd,656e3a7d13d04d219bc36ef5b2839c4a,TRUE,372530,178800,150,0,0,178800,150,5:100-249,1192,0.83547498,0.012002974,0.152522045,0
Virtru,65b9a4e481c849c592f676bb374e1f2d,TRUE,76500,76500,50,0,0,76500,50,4:50-99,1530,0.001089236,0.040604899,0.848499984,0.10980588
Vanguard Saucelabs Users,66f2102074f248c0b850970662fdf7c6,FALSE,274776,315000,150,0,0,315000,150,5:100-249,2100,0.845867533,0.064704876,0.059618394,0.029809197
AS Adventure Group,671d56de9f784bec8e0024128806f822,TRUE,22149,0,0,12072.26,6,12072.26,6,1:1-9,2012.043333,0.091353944,0.170467018,0.467859953,0.270319084
Gigaclear,674f1d62470d4857ae930d51ab42fa1f,TRUE,16248,0,0,1631.96,2,1631.96,2,1:1-9,815.98,0.471113445,0.084558824,0.097535356,0.346792375
OutSystems,683bf78d0102401392ed8217cfd1c181,TRUE,111200,0,0,30742.91,16,30742.91,16,2:10-24,1921.431875,0.734245849,0.030703305,0.235050844,0
parsable,693f5dd5d91b468185c3683d7ec92aa7,TRUE,66549,66549,40,0,0,66549,40,3:25-49,1663.725,0.358972187,0.117622913,0,0.5234049
Mallgroup,694f846ea4cd4621bd5ddc7b274a954c,TRUE,17143,0,0,17142.86,10,17142.86,10,2:10-24,1714.286,0.047392021,0.013853139,0.479808028,0.45894681
American First Finance,69d49a1d74bc4bd4b6e28785df803ad3,TRUE,36000,36000,15,0,0,36000,15,2:10-24,2400,1,0,0,0
Emeis Cosmetics Pty Ltd.,69e5db3e91a64de4b5820a10ba3c9eeb,TRUE,28800,4800,2,0,0,4800,2,1:1-9,2400,0.875075751,0.002328342,0.117023366,0.005572541
PennyMac - User Portal,6a1a02be6cbe43738e65766d2e171c7f,TRUE,122436,116220,65,0,0,116220,65,4:50-99,1788,0.99946497,3.53E-06,0,0
Providence Health & Services,6a33145c10df4ba9b6686742af6fbf58,TRUE,45900,31500,15,0,0,31500,15,2:10-24,2100,0.247651496,0.255191161,0.095942645,0.401214698
lilly,6addfd0bba764f42ade7d84e317097e9,TRUE,112200,60000,25,0,0,60000,25,3:25-49,2400,0.861563328,0.002871064,0.107025479,0.028540128
"Plex Systems, Inc.",6aed39760fdf4a3083105a04242489de,TRUE,45684,35160,20,0,0,35160,20,2:10-24,1758,0.690909071,0.309074112,0,0
GetWellNetwork,6bb483d097954b28a9352c430dc155ae,TRUE,34200,11400,5,0,0,11400,5,1:1-9,2280,0.66876714,0.037917401,0.237445848,0.055869611
Kaiser Permanente,6c0f594587ad4b9d8bdafce85c34ad9f,FALSE,92664,104708,40,0,0,104708,40,3:25-49,2617.7,0.718046839,1.24E-05,0.281940753,0
EBSCO Information Services,6d182312f5e34dc9a4dd2cc8bfd458e8,TRUE,96000,96000,40,0,0,96000,40,3:25-49,2400,0.870809548,0.003584303,0.011418741,0.114187407
Blue Yonder,6d3a68433bf0488d930efb9a4759253e,TRUE,51574,29754,26,0,0,29754,26,3:25-49,1144.384615,0.609860672,0.373323625,0.016815703,0
Life360,6d3c474f5c294c3a980d189310050fdd,TRUE,150000,89066,95,0,0,89066,95,4:50-99,937.5368421,0.019750637,0.413168004,0.030379358,0.536702
Meijer,6d48bab7cb3443ca80a23377a476f8dc,TRUE,96000,72000,30,0,0,72000,30,3:25-49,2400,0.02131776,0.949581091,0.029101149,0
Sirius XM - care.sirusxm.com,6d974ef3cb184c39a67248921859644f,TRUE,68640,44640,20,0,0,44640,20,2:10-24,2232,0.471776721,0.00062699,0.515605464,0.011990825
Schwab,6e628f9ca34d4d3a81fda1b9efb1075b,TRUE,1281866,1129968,529,0,0,1129968,529,7:500+,2136.045369,0.897176543,0.030441113,0.031021012,0.04136135
Fanatics,6eb144c269894a45849945fbe6c8f121,TRUE,113700,105300,65,0,0,105300,65,4:50-99,1620,0.027094828,0.059196087,0.80446126,0.109247825
ARIAT,6f35dfb293974d198f0bef695c367fee,TRUE,25584,25584,13,0,0,25584,13,2:10-24,1968,0.811116203,0.104273011,0.00769189,0.076918896
PharmaConnect,6f86d05dc90f48c6adb220a9a98d184c,TRUE,18000,18000,10,0,0,18000,10,2:10-24,1800,0.996995141,0.000924505,0,0
"Okta, Inc.",6fa21c1f57fe46c4a900b501d539073d,TRUE,67320,67320,30,0,0,67320,30,3:25-49,2244,0.83185024,0.000193903,0.167955858,0
LEGO,6fab798fb57a47b6ad215cddae867560,TRUE,91260,0,0,38160,20,38160,20,2:10-24,1908,0.411255644,0.000420928,0.588323428,0
Metro,6fb3b4dd137f4086bad68f09f57de4ce,TRUE,168481,0,0,147053.38,75,147053.38,75,4:50-99,1960.711733,0.965870922,0.00103306,0.0330925,0
GCHQ,70bed9c053c64ac2829c6b20eea1a879,TRUE,7200,0,0,7200.04,3,7200.04,3,1:1-9,2400.013333,0.721819414,0,0.278180586,0
California Coast Credit Union,70d1e1dff0d049ea92722c0111f54ee3,TRUE,20160,12960,6,0,0,12960,6,1:1-9,2160,0.998512575,0.000566917,0.000920509,0
Boston Scientific,713875bf779d4752a661e1e51c589a99,TRUE,35340,0,0,19440,9,19440,9,1:1-9,2160,0.207214196,0.159216523,0.080453242,0.553116039
Squarespace,71e00a9fc7c04a6394eedf45a2e5067a,TRUE,51768,46968,20,0,0,46968,20,2:10-24,2348.4,0.637272297,5.42E-05,0.362673537,0
Resideo,7363ad723e10457d9aa7fa3eb16dc1ea,TRUE,77126,77126,40,0,0,77126,40,3:25-49,1928.15,0.668533587,0.102379149,0.034363087,0.194724157
Twitter,738477b236cf46f48f092da946beabb6,TRUE,1046400,856800,1000,0,0,856800,1000,7:500+,856.8,0.544285013,0.130299852,0,0.325408722
H-E-B Grocery,740e7b409834424eb29f62999b33d12e,TRUE,386400,156000,100,0,0,156000,100,5:100-249,1560,0.712375236,0.005356245,0.282268519,0
Charter - real devices,7491dd130f0341b08fad5d6d42a2598a,TRUE,21351,9089,5,0,0,9089,5,1:1-9,1817.8,0,0,0,0
Maplesoft,74b3bccb4e91417eb7b104a82874f08f,TRUE,17426,17426,10,0,0,17426,10,2:10-24,1742.6,0.586910642,0,0.413089358,0
Lloyds Banking Group,74f4793c698340a6bde381b03f5fbf35,TRUE,137086,1,0,137085,65,137086,65,4:50-99,2109.015385,0.764305652,0.034701934,0.100496206,0.100496206
Charter - Digital Marketing,752dfd34487a4c27a22f35295f42147c,TRUE,76858,25334,20,0,0,25334,20,2:10-24,1266.7,0.635673225,0.136088143,0,0.228238632
Domuso,7539a206121c41fda45195bcf733aa6a,TRUE,42792,34944,32,0,0,34944,32,3:25-49,1092,0.722167825,0.277066795,0,0
ARMS Business Solutions,754e668ef5a54391acaec799861683bd,TRUE,12000,12000,5,0,0,12000,5,1:1-9,2400,0.034171114,0.958579864,0,0.007249022
MSG,755a5a28e9c74df88959a337fdbc46d0,TRUE,46800,39600,20,0,0,39600,20,2:10-24,1980,0.11183668,0.001046584,0.84091274,0.046203997
SquareRootSoftReg,75cc7040b607412a805c566b75d0a2d8,TRUE,22752,3285,2,0,0,3285,2,1:1-9,1642.5,0.999801382,0,0,0
iqvia,75d034a6c18b4e9c9a605ea67326326b,TRUE,84187,4176,4,0,0,4176,4,1:1-9,1044,0.006328906,0.962833794,0,0.030837299
"Nasdaq, Inc",75e8a1d6580346789dd2f885397e2a7f,TRUE,146856,41760,68,0,0,41760,68,4:50-99,614.1176471,0.999961978,0,0,0
Vanguard Charitable,75f05ef5439f40b1b8610c427989fcd5,TRUE,20580,12480,8,0,0,12480,8,1:1-9,1560,0.530490905,0.00118126,0.400030025,0.068297809
BP - Navitas,769e62b3a2af492f8a831e62e3a98dd6,TRUE,64420,1,0,33218.64,21,33219.64,21,2:10-24,1581.887619,0.723852771,0.101953267,0.017419394,0.156774548
Accenture - Caterpillar,776c800386a44592a8aa1f8abdd3498a,TRUE,46800,16800,10,0,0,16800,10,2:10-24,1680,0.010182893,0,0.125976723,0.863840385
The Washington Post,776d5859d5dc424e92414466529b0271,TRUE,112560,76560,55,0,0,76560,55,4:50-99,1392,0.696036302,0.102994698,0.200969001,0
Corteva,7787526cdf6a48068191eead6be12a12,TRUE,99600,48000,10,0,0,48000,10,2:10-24,4800,0.003009918,0.405658667,0,0.591331415
NebulaPlatform,7823dc48f32445fb9c444816d003af8e,TRUE,37542,0,0,15016.88,8,15016.88,8,1:1-9,1877.11,0.992298085,0.001264868,0,0
Frankmout,7848e259d6a144a1933baa61bf43b2c8,TRUE,46726,0,0,4095,3,4095,3,1:1-9,1365,1,0,0,0
OptumTest,78d9e644185246b3af6734166bc71c72,TRUE,2615317,2222701,2000,0,0,2222701,2000,7:500+,1111.3505,0.93900973,0.025495767,0.007098901,0.028395603
saravana.nallasivan,793e71d4ef4345ca927002d368edf3c2,TRUE,10815,0,0,3611.81,2,3611.81,2,1:1-9,1805.905,0.655017966,0.175855665,0.150334547,0.018791818
Purpose Financial,795d273991c14ea19d714f2ed8a6e4bd,TRUE,57600,38160,25,0,0,38160,25,3:25-49,1526.4,0.401120067,0.070069826,0.372125631,0.156684476
RALLY,7aaf059ed3e64d4783a803d7a05643df,TRUE,99600,73920,50,0,0,73920,50,4:50-99,1478.4,0.076824593,0.209342251,0.381531513,0.332301641
